Lead_ID,Lead_Date,Ad_Campaign_Name,Ad_Set_Name,Ad_Spend,Impressions,Clicks,CTR (%),CPC,Form_Submit_Time,Lead_Source,Age,Gender,Location,Treatment_Interest,Preferred_Slot,Response_Time (mins),No_of_Followups,Engagement_Score,Consent_Status,Lead_Score,Appointment_Booked,Appointment_Date,Created_Week
LEAD_1000,2025-04-13,SmileCare_Promo,Retarget_OldLeads,758.79,1360,24,1.76,31.62,2025-04-13 01:27:00,Facebook,53,Female,Kolkata,Hair,Morning,193,5,78,True,32.25,1,2025-04-16,15
LEAD_1001,2025-06-01,Wellness_Boost,Target_Women_25_45,150.77,630,159,25.24,0.95,2025-06-01 19:44:00,Facebook,29,Female,Mumbai,Dental,Morning,92,4,69,True,46.8,1,2025-06-06,22
LEAD_1002,2025-01-22,Wellness_Boost,Target_Women_25_45,572.3,3404,58,1.7,9.87,2025-01-22 11:26:00,Facebook,61,Male,Mumbai,Skin,Evening,174,4,99,True,46.5,0,,4
LEAD_1003,2025-02-24,Wellness_Boost,Retarget_OldLeads,520.09,1767,73,4.13,7.12,2025-02-24 10:00:00,Facebook,31,Male,Mumbai,Skin,Morning,233,3,46,True,19.45,1,2025-02-28,9
LEAD_1004,2025-08-30,SmileCare_Promo,Retarget_OldLeads,114.37,2541,18,0.71,6.35,2025-08-30 12:55:00,Facebook,64,Male,Bangalore,Dental,Evening,134,4,67,True,39.7,1,2025-09-04,35
LEAD_1005,2025-02-04,HairRevive_Offer,GeneralAudience,264.01,3652,173,4.74,1.53,2025-02-04 11:42:00,Facebook,35,Male,Bangalore,Hair,Morning,136,2,45,True,36.6,0,,6
LEAD_1006,2025-08-06,SmileCare_Promo,Retarget_OldLeads,933.99,661,199,30.11,4.69,2025-08-06 11:59:00,Facebook,62,Other,Bangalore,Wellness,Evening,99,4,96,False,56.55,0,,32
LEAD_1007,2025-02-22,SmileCare_Promo,Men_30plus,588.43,4493,197,4.38,2.99,2025-02-22 22:47:00,Facebook,18,Male,Delhi,Wellness,Afternoon,45,5,54,True,44.85,1,2025-02-23,8
LEAD_1008,2025-05-16,SmileCare_Promo,Retarget_OldLeads,833.92,1995,72,3.61,11.58,2025-05-16 00:40:00,Facebook,45,Male,Mumbai,Skin,Afternoon,85,3,74,True,52.85,1,2025-05-18,20
LEAD_1009,2025-05-15,DentalCare_2025,Men_30plus,504.51,700,81,11.57,6.23,2025-05-15 16:00:00,Facebook,52,Female,Mumbai,Wellness,Evening,37,5,74,True,54.05,1,2025-05-18,20
